man;мужчина, м, мужчины
woman;женщина, ж, женщины
to go into, to enter;заходить
house;дом, м, дома
to buy;покупать
flower;цветок, м, цветы
school;школа, ж, школы
at home;дома
to go (и);идти
friend (male);друг, м, друзья
friend (female);подруга, ж, подруги
my;мой, моя, моё, мои
yes;да
no;нет
to say (с);сказать
to want;хотеть
father;отец, м, отцы
mother;мать, ж, матери
parent;родитель, м, родители
back (-wards);назад
to go (по);пойти
rarely;редко
rare;редкий, редкая, редкое, редкие
to see;видеть
not;не
when;когда
who;кто
where;где
how;как
this, these;этот, эта, это, эти
, too;тоже
something;что-то
music (Sg.);музыка, ж
art (Sg.);искусство, н
food (Sg.);еда, ж
time;время, н, времена
children;дети
child(Sg.);ребёнок, м
Germany;Германия, ж
Russia;Россия, ж
America (2, А, С);Америка, ж, США
today;сегодня
tomorrow;завтра
yesterday;вчера
to be late;опоздать
many;много, многие, многие, множество
to like;нравиться
to love;любить
to eat;есть
book;книга, ж, книги
teacher (male);учитель, м, учителя
teacher (female);учительница, ж, учительницы
neighbor (male);сосед, м, соседи
neighbor (female);соседка, ж, соседки
family;семья, ж, семьи
relative (male);родственник, м, родственники
relative (female);родственница, ж, родственницы
internet (Sg.);интернет, м
police (Sg.);полиция, ж
name;имя, н, имена
car;машина, ж, машины
headlight;фара, ж, фары
light (e.g. of a house);огонёк, м, огни
to live;жить
to burn;гореть
to know;знать
to work;работать
old;старый, старая, старое, старые
good;хорошо, хороший, хорошая, хорошее, хорошие
bad;плохо, плохой, плохая, плохое, плохие
close, nearby;рядом
abroad;за рубежом
your;твой, твоя, твоё, твои
his;его
her;её
our;наш, наша, наше, наши
your (plural);ваш, ваша, ваше, ваши
their;их
reputation;репутация, ж, репутации
surname;фамилия, ж, фамилии
day;день, м, дней
class, homework;урок, м, уроки
grade;класс, м, классы
work;работа, ж, работы
hobby;хобби, н, хоббис
morning;утро, н, утра
evening;вечер, м, вечера
night;ночь, ж, ночи
plan;план, м, планы
weather;погода, ж, погоды
word;слово, н, слова
now;сейчас
today;сегодня
probably (not);наверно (нет)
maybe (not);может быть (нет)
perfect;отлично
there might not be;может не быть
hello (2, п, з);привет, здарово
goodbye (2, д в, д св);до встречи, до свидания
please;пожалуйста
thanks(2, с (б), б);спасибо (большое), благодарю
there;там
to be done, finished (future);закончить
to make, do;делать
have;у ... есть
to be called;звать
to mean(eg. of a word);значить
to sleep;спать
to start a call;позвонить
to leave;уходить
to take;забирать
shoot (e.g. a gun);стрелять
one;один
two;два
three;три
four;четыре
five;пять
six;шесть
seven;семь
ten;десять
eleven;одиннадцать
twelve;двенадцать
thirteen;тринадцать
14;четырнадцать
15;пятнадцать
16;шестнадцать
17;семнадцать
18;восемнадцать
19;девятнадцать
21;двадцать один
46;сорок шесть
54;пятьдесят четыре
98;девяносто восемь
129;сто двадцать девять
200;двести
300;триста
400;четыреста
500;пятьсот
600;шестьсот
700;семьсот
800;восемьсот
900;девятьсот
1000;тысяча
capital city;столица, ж, столицы
on foot;пешком
together;вместе
hair;волос, м, волосы
short;коротко, короткий, короткая, короткое, короткие
conversation;разговор, м, разговоры
better (adverb);лучше
