family;семья, ж, семьи
relative (male);родственник, м, родственники
relative (female);родственница, ж, родственницы
internet (Sg.);интернет, м
police (Sg.);полиция, ж
name;имя, н, имена
car;машина, ж, машины
headlight;фара, ж, фары
light (e.g. of a house);огонёк, м, огни
to live;жить
to burn;гореть
to know;знать
to work;работать
old;старый, старая, старое, старые
good;хорошо, хороший, хорошая, хорошее, хорошие
bad;плохо, плохой, плохая, плохое, плохие
close, nearby;рядом
abroad;за рубежом
your;твой, твоя, твоё, твои
his;его
her;её
our;наш, наша, наше, наши
your (plural);ваш, ваша, ваше, ваши
their;их
reputation;репутация, ж, репутации
surname;фамилия, ж, фамилии
day;день, м, дней
class, homework;урок, м, уроки
grade;класс, м, классы
work;работа, ж, работы
hobby;хобби, н, хоббис
morning;утро, н, утра
evening;вечер, м, вечера
night;ночь, ж, ночи
plan;план, м, планы
weather;погода, ж, погоды
word;слово, н, слова
now;сейчас
probably (not);наверно (нет)
maybe (not);может быть (нет)
perfect;отлично
there might not be;может не быть
hello (2, п, з);привет, здарово
goodbye (2, д в, д св);до встречи, до свидания
please;пожалуйста
thanks(2, с (б), б);спасибо (большое), благодарю
there;там
to be done, finished (future);закончить
to make, do;делать
have;у ... есть
