to be called;звать
to mean(eg. of a word);значить
to sleep;спать
to start a call;позвонить
to leave;уходить
to take;забирать
shoot (e.g. a gun);стрелять
one;один
two;два
three;три
four;четыре
five;пять
six;шесть
seven;семь
ten;десять
eleven;одиннадцать
twelve;двенадцать
thirteen;тринадцать
14;четырнадцать
15;пятнадцать
16;шестнадцать
17;семнадцать
19;девятнадцать
21;двадцать один
46;сорок шесть
54;пятьдесят четыре
98;девяносто восемь
129;сто двадцать девять
200;двести
300;триста
400;четыреста
500;пятьсот
600;шестьсот
700;семьсот
800;восемьсот
900;девятьсот
1000;тысяча
capital city;столица, ж, столицы
on foot;пешком
together;вместе
hair;волос, м, волосы
short;коротко, короткий, короткая, короткое, короткие
conversation;разговор, м, разговоры
better (adverb);лучше
shout (past);кричать
green;зелёный, зелёная, зелёное, зелёные
smile;улыбка, ж, улыбки
eye;глаз, м, глаза
thin;худой, худая, худое, худые
tall;высокий, высокая, высокое, высокие
