head;голова, ж, головы
above, higher (adverb);выше
to go, lead;вести
best (adjective);лучший, лучшая, лучшее, лучшие
year;год, м, года
city;город, м, города
clock (Sg.);часы
hour;час, м, часы
whole, entire;целый, целая, целое, целые
often (adverb);часто
to laugh;смеяться
usually (adverb);обычно
guy;парень, м, парни
guys;ребята
after;после
team;команда, ж, команды
on a team;в команде
always;всегда
forever;навсегда
never;никогда
cook;готовить
to grow up;вырасти
trainer (т);тренер, м, тренеры
to dream (of);мечтать
to become;стать
sometimes;иногда
to have lunch;обедать
homework;домашнее задание, н, домашние задания
to explain;объяснять
complex, tricky;сложный, сложная, сложное, сложные
task, problem, objective;задача, ж, задачи
to teach;учить
to learn;учиться
especially (adv);особенно
supermarket;супермаркет, м, супермаркеты
to get (oneself somewhere);добираться
to watch;смотреть
subject, class, object of, topic, items;предмет, м, предметы
cold (adjective);холодный, холодная, холодное, холодные
hot (adjective);горячий, горячая, горячее, горячие
senior, older, more experienced;старший, старшая, старшее, старшие
dog;собака, ж, собаки
cat (-т);кот, м, кошки
village;деревня, ж, деревни
to get up, stand up;встать
chair;стул, м, стулья
table (с);стол, м, столы
bed;кровать, ж, кровати
before, earlier (adverb);раньше
early (adverb);рано
