doctor (д);доктор, м, доктора
breakfast;завтрак, м, завтраки
to love it (о);обожать
oatmeal (2, о, о к) plurals are the same;овсянка, ж, овсяная каша, ж
gather, assemble;собираться
second;второй, вторая, второе, вторые
the other;другой, другая, другое, другие
another;ещё один, одна, одно, одни
come, show up (п);приходить
then;потом
to dine, have dinner, eat;ужинать
garden, vegetable garden;огород, м, огороды
to grow, cultivate, breed;выращивать
vegetable;овощ, м, овощи
fruit;фрукт, м, фрукты
to go, walk (х);ходить
age;возраст, м, возраста
complain;жаловаться
to meet, introduce;знакомиться
husband;муж, м, мужья
pet;домашнее животное, н, домашние животные
to drive;ездить
to come/arrive by car;приезжать
to be dressed in;одевать
long;длинный, длинная, длинное, длинные
black;чёрный, чёрная, чёрное, чёрные
skirt;юбка, ж, юбки
sweater;кофта, ж, кофты
to wear;носить
earring;серьга, ж, серёжка
gift, present;подарок, м, подарки
attentively (adverb);внимательно
comprehensibly, understandably(adverb);понятно
to clean;убирать
to vacume;пылесосить
dinner;ужин, м, ужины
to bathe;купаться
to read;читать
lay down;ложиться
to sit down;садиться
to check;проверять
to relax;отдыхать
to use;использовать
